Períodos,accuracy score,f1 score,f1 score macro,f1 score micro,f1 score weighted,precision score,precision score macro,precision score micro,precision score weighted,recall score,recall score macro,recall score micro,recall score weighted,roc_auc score
26/02/2020 até 26/05/2020,0.741271465938815,0.5945464266619142,0.7022836517443183,0.741271465938815,0.741271465938815,0.46488294314381273,0.6983396464037988,0.741271465938815,0.8243738748099347,0.8245180425111222,0.7704569533087369,0.741271465938815,0.741271465938815,0.7704569533087368
27/03/2020 até 25/06/2020,0.6466212027278363,0.5664300202839756,0.6341044416034458,0.6466212027278363,0.6466212027278363,0.4234268385140258,0.668778389724982,0.6466212027278363,0.7816938484037999,0.8552833078101072,0.7123854976638988,0.6466212027278363,0.6466212027278363,0.7123854976638988
26/04/2020 até 25/07/2020,0.6532643312101911,0.4897480960749853,0.6135807106844627,0.6532643312101911,0.6532643312101911,0.3575705731394354,0.6341091882823015,0.6532643312101911,0.7921941609515513,0.7769516728624535,0.6982529387615206,0.6532643312101911,0.6532643312101911,0.6982529387615206
26/05/2020 até 24/08/2020,0.6963866729235101,0.41128298453139217,0.603365172316281,0.6963866729235101,0.6963866729235101,0.32331902718168815,0.60090532364671,0.6963866729235101,0.7742827805190442,0.565,0.645873772385904,0.6963866729235101,0.6963866729235101,0.645873772385904
25/06/2020 até 23/09/2020,0.6682725395732966,0.36243386243386244,0.5691239079611172,0.6682725395732966,0.6682725395732966,0.2813141683778234,0.572334102822452,0.6682725395732966,0.7555985488078858,0.5092936802973977,0.6068427860946448,0.6682725395732966,0.6682725395732966,0.6068427860946448
25/07/2020 até 23/10/2020,0.6410256410256411,0.39933993399339934,0.571681218754787,0.6410256410256411,0.6410256410256411,0.3315068493150685,0.5733035016991367,0.6410256410256411,0.7001632838177997,0.5020746887966805,0.5932106949804877,0.6410256410256411,0.6410256410256411,0.5932106949804877
24/08/2020 até 22/11/2020,0.6651376146788991,0.4122383252818036,0.5890569432695099,0.6651376146788991,0.6651376146788991,0.42105263157894735,0.5902973081558859,0.6651376146788991,0.66110058569633,0.4037854889589905,0.5880505711289131,0.6651376146788991,0.6651376146788991,0.588050571128913
23/09/2020 até 22/12/2020,0.6551724137931034,0.4512195121951219,0.5999114320752146,0.6551724137931034,0.6551724137931034,0.4817708333333333,0.6046204872421281,0.6551724137931034,0.645382096546732,0.4243119266055046,0.5976565386767454,0.6551724137931034,0.6551724137931034,0.5976565386767454
23/10/2020 até 21/01/2021,0.6830601092896175,0.5781818181818182,0.6621762482593992,0.6830601092896175,0.6830601092896175,0.534453781512605,0.6596319540474418,0.6830601092896175,0.6984508682078351,0.6297029702970297,0.6704302129900164,0.6830601092896175,0.6830601092896175,0.6704302129900165
22/11/2020 até 20/02/2021,0.6798886569241476,0.5593869731800767,0.6540104264807487,0.6798886569241476,0.6798886569241476,0.5232974910394266,0.651296072027108,0.6798886569241476,0.6927152370648755,0.6008230452674898,0.6605587360932612,0.6798886569241476,0.6798886569241476,0.6605587360932612
22/12/2020 até 22/03/2021,0.6815944881889764,0.5153558052434457,0.6391363122955961,0.6815944881889764,0.6815944881889764,0.5081240768094535,0.63819487973314,0.6815944881889764,0.6840269146216044,0.5227963525835866,0.6402191369904833,0.6815944881889764,0.6815944881889764,0.6402191369904834
