Períodos,accuracy score,f1 score,f1 score macro,f1 score micro,f1 score weighted,precision score,precision score macro,precision score micro,precision score weighted,recall score,recall score macro,recall score micro,recall score weighted,roc_auc score
26/02/2020 até 25/06/2020,0.7142857142857143,0.5498802873104548,0.6703019247312942,0.7142857142857143,0.7142857142857143,0.4711111111111111,0.6642419365654127,0.7142857142857143,0.7552795419783954,0.6602779108768567,0.6969835069963557,0.7142857142857143,0.7142857142857143,0.6969835069963558
27/03/2020 até 25/07/2020,0.6457688338493293,0.48902121324897646,0.6089726007014872,0.6457688338493293,0.6457688338493293,0.37055837563451777,0.6241760018923896,0.6457688338493293,0.7581824256736388,0.7188183807439825,0.6710229648486962,0.6457688338493293,0.6457688338493293,0.6710229648486961
26/04/2020 até 24/08/2020,0.6602343211578222,0.4144893111638955,0.5875844614071905,0.6602343211578222,0.6602343211578222,0.31160714285714286,0.5954780944364277,0.6602343211578222,0.7690091309979893,0.6187943262411347,0.6445126464396436,0.6602343211578222,0.6602343211578222,0.6445126464396436
26/05/2020 até 23/09/2020,0.7262126865671642,0.40284842319430314,0.6126193704473786,0.7262126865671642,0.7262126865671642,0.34256055363321797,0.6051883227936204,0.7262126865671642,0.768595712746968,0.4888888888888889,0.6351862500798671,0.7262126865671642,0.7262126865671642,0.6351862500798671
25/06/2020 até 23/10/2020,0.6974564926372155,0.37047353760445684,0.5856772974365896,0.6974564926372155,0.6974564926372155,0.3463541666666667,0.5826365427927928,0.6974564926372155,0.713271912725979,0.39820359281437123,0.5909121412347718,0.6974564926372155,0.6974564926372155,0.5909121412347719
25/07/2020 até 22/11/2020,0.6884210526315789,0.3638968481375358,0.5787885727676526,0.6884210526315789,0.6884210526315789,0.4261744966442953,0.5919692358997874,0.6884210526315789,0.6646862268013191,0.3175,0.5753353658536585,0.6884210526315789,0.6884210526315789,0.5753353658536585
24/08/2020 até 22/12/2020,0.6561954624781849,0.3396648044692738,0.5536310652310978,0.6561954624781849,0.6561954624781849,0.45103857566765576,0.5786307205400507,0.6561954624781849,0.6233881745005244,0.2724014336917563,0.5565280208941124,0.6561954624781849,0.6561954624781849,0.5565280208941125
23/09/2020 até 21/01/2021,0.6742826780021254,0.4987735077677842,0.6287649514439078,0.6742826780021254,0.6742826780021254,0.5313588850174216,0.6341809715606985,0.6742826780021254,0.66608750638603,0.4699537750385208,0.6258933514284251,0.6742826780021254,0.6742826780021254,0.625893351428425
23/10/2020 até 20/02/2021,0.6905901116427432,0.5488372093023255,0.6567001580492209,0.6905901116427432,0.6905901116427432,0.5315315315315315,0.6546546546546547,0.6905901116427432,0.6960884329305382,0.5673076923076923,0.6595488342206719,0.6905901116427432,0.6905901116427432,0.6595488342206719
22/11/2020 até 22/03/2021,0.6909819639278557,0.5073482428115016,0.6411193768802033,0.6909819639278557,0.6909819639278557,0.5279255319148937,0.644628285177183,0.6909819639278557,0.6852754565539081,0.4883148831488315,0.6386283095886844,0.6909819639278557,0.6909819639278557,0.6386283095886844
22/12/2020 até 21/04/2021,0.6852218140717717,0.47002854424357754,0.623076973086419,0.6852218140717717,0.6852218140717717,0.5266524520255863,0.634529609326903,0.6852218140717717,0.6714437764622223,0.42439862542955326,0.6187256285042503,0.6852218140717717,0.6852218140717717,0.6187256285042504
21/01/2021 até 21/05/2021,0.6850455136540963,0.48137044967880094,0.6276133294145638,0.6850455136540963,0.6850455136540963,0.5218198700092851,0.6351873916520414,0.6850455136540963,0.6743721605111371,0.4467408585055644,0.6238342870030721,0.6850455136540963,0.6850455136540963,0.6238342870030721
20/02/2021 até 20/06/2021,0.674282529952633,0.4829721362229102,0.6226127713858094,0.674282529952633,0.674282529952633,0.469475494411006,0.6209702286564511,0.674282529952633,0.6797699402206485,0.4972677595628415,0.624788034739269,0.674282529952633,0.674282529952633,0.6247880347392689
22/03/2021 até 20/07/2021,0.6960167714884696,0.5034246575342466,0.6421957124529238,0.6960167714884696,0.6960167714884696,0.47572815533980584,0.6386392714683525,0.6960167714884696,0.707628884587779,0.5345454545454545,0.6479796492167627,0.6960167714884696,0.6960167714884696,0.6479796492167627
21/04/2021 até 19/08/2021,0.6947791164658634,0.5413793103448276,0.6563302398671687,0.6947791164658634,0.6947791164658634,0.5122349102773246,0.653020110005919,0.6947791164658634,0.7054409904556366,0.5740402193784278,0.6620201096892139,0.6947791164658634,0.6947791164658634,0.6620201096892139
