Períodos,accuracy score,f1 score,f1 score macro,f1 score micro,f1 score weighted,precision score,precision score macro,precision score micro,precision score weighted,recall score,recall score macro,recall score micro,recall score weighted,roc_auc score
26/02/2020 até 25/06/2020,0.6688196555217831,0.5694055656183106,0.6501724813378105,0.6688196555217831,0.6688196555217831,0.4337681886603111,0.6711040431792604,0.6688196555217831,0.7829789229309738,0.8284619070436032,0.7199634375982347,0.6688196555217831,0.6688196555217831,0.7199634375982347
27/03/2020 até 25/07/2020,0.5753353973168215,0.4916615194564546,0.5635090938000039,0.5753353973168215,0.5753353973168215,0.342512908777969,0.6332409904714588,0.5753353973168215,0.7868558282702892,0.8708971553610503,0.6775147491862645,0.5753353973168215,0.5753353973168215,0.6775147491862645
26/04/2020 até 24/08/2020,0.5892487939352171,0.4435107376283846,0.5590027746033785,0.5892487939352171,0.5892487939352171,0.3010139416983523,0.6168966989458529,0.5892487939352171,0.8099966339413961,0.8421985815602837,0.6852139186672248,0.5892487939352171,0.5892487939352171,0.6852139186672248
26/05/2020 até 23/09/2020,0.6277985074626866,0.45491803278688525,0.5861700645520829,0.6277985074626866,0.6277985074626866,0.31444759206798867,0.6240440725316903,0.6277985074626866,0.8166754647605045,0.8222222222222222,0.7023704555619449,0.6277985074626866,0.6277985074626866,0.7023704555619449
25/06/2020 até 23/10/2020,0.6151271753681392,0.44551591128254575,0.5753976276043686,0.6151271753681392,0.6151271753681392,0.3285917496443812,0.599188415909422,0.6151271753681392,0.7487954081014726,0.6916167664670658,0.642360107371464,0.6151271753681392,0.6151271753681392,0.642360107371464
25/07/2020 até 22/11/2020,0.6498245614035087,0.483971044467425,0.6094841945650986,0.6498245614035087,0.6498245614035087,0.4126984126984127,0.6096126096126095,0.6498245614035087,0.6959784854521697,0.585,0.6300609756097562,0.6498245614035087,0.6498245614035087,0.630060975609756
24/08/2020 até 22/12/2020,0.6346713205351949,0.4757929883138564,0.5977179227283567,0.6346713205351949,0.6346713205351949,0.4453125,0.5961502259036144,0.6346713205351949,0.6490618889169243,0.510752688172043,0.6024909005029035,0.6346713205351949,0.6346713205351949,0.6024909005029034
23/09/2020 até 21/01/2021,0.6445270988310308,0.5560716655607166,0.6298302501485462,0.6445270988310308,0.6445270988310308,0.48834498834498835,0.6318678066724942,0.6445270988310308,0.6764041116157797,0.6456086286594761,0.6447832275495271,0.6445270988310308,0.6445270988310308,0.6447832275495272
23/10/2020 até 20/02/2021,0.6257309941520468,0.5753920386007237,0.620395639072225,0.6257309941520468,0.6257309941520468,0.46131528046421666,0.643880780727976,0.6257309941520468,0.7053182935759078,0.7644230769230769,0.6606522703628909,0.6257309941520468,0.6257309941520468,0.6606522703628909
22/11/2020 até 22/03/2021,0.648496993987976,0.5715681485100147,0.6367864527803215,0.648496993987976,0.648496993987976,0.4740680713128039,0.6466295947364971,0.648496993987976,0.7067321854600199,0.7195571955719557,0.6668535086064298,0.648496993987976,0.648496993987976,0.6668535086064297
22/12/2020 até 21/04/2021,0.6357728171799943,0.5562822719449226,0.6236958927421714,0.6357728171799943,0.6357728171799943,0.46410109132682364,0.6330516580104641,0.6357728171799943,0.6908643554543433,0.6941580756013745,0.6506579851691083,0.6357728171799943,0.6357728171799943,0.6506579851691083
21/01/2021 até 21/05/2021,0.6166449934980495,0.55006105006105,0.6080617891900175,0.6166449934980495,0.6166449934980495,0.4464816650148662,0.6255396830821458,0.6166449934980495,0.6874299577275071,0.7162162162162162,0.6422209801606786,0.6166449934980495,0.6166449934980495,0.6422209801606786
20/02/2021 até 20/06/2021,0.5709111173028699,0.5304878048780488,0.5677067038756586,0.5709111173028699,0.5709111173028699,0.3987167736021998,0.6183349326433174,0.5709111173028699,0.7035754162165347,0.7923497267759563,0.6328268103972113,0.5709111173028699,0.5709111173028699,0.6328268103972114
22/03/2021 até 20/07/2021,0.5625436757512229,0.5169753086419753,0.558615368241805,0.5625436757512229,0.5625436757512229,0.379173740803622,0.6188106146940484,0.5625436757512229,0.7202920581445016,0.8121212121212121,0.636792073905476,0.5625436757512229,0.5625436757512229,0.636792073905476
