Períodos,accuracy score,f1 score,f1 score macro,f1 score micro,f1 score weighted,precision score,precision score macro,precision score micro,precision score weighted,recall score,recall score macro,recall score micro,recall score weighted,roc_auc score
26/02/2020 até 25/06/2020,0.6778115501519757,0.5628865979381443,0.6538861389209374,0.6778115501519757,0.6778115501519757,0.4387891776051433,0.6654671326411497,0.6778115501519757,0.7723181139790443,0.7848586487781505,0.7121056886514268,0.6778115501519757,0.6778115501519757,0.7121056886514268
27/03/2020 até 25/07/2020,0.6382868937048504,0.4960460100647017,0.6069767273663549,0.6382868937048504,0.6382868937048504,0.3693790149892934,0.6289126150643678,0.6382868937048504,0.7660449197479984,0.7549234135667396,0.6786095798421139,0.6382868937048504,0.6382868937048504,0.6786095798421141
26/04/2020 até 24/08/2020,0.6602343211578222,0.44481981981981983,0.6000166626407938,0.6602343211578222,0.6602343211578222,0.3259075907590759,0.612953795379538,0.6602343211578222,0.7884258722219569,0.700354609929078,0.6754553203623149,0.6602343211578222,0.6602343211578222,0.6754553203623149
26/05/2020 até 23/09/2020,0.7513992537313433,0.3227445997458704,0.5852511916181508,0.7513992537313433,0.7513992537313433,0.3324607329842932,0.5873427387963464,0.7513992537313433,0.7459307032335101,0.3135802469135803,0.5834721246068764,0.7513992537313433,0.7513992537313433,0.5834721246068764
25/06/2020 até 23/10/2020,0.6673360107095047,0.3990326481257558,0.5845232652937895,0.6673360107095047,0.6673360107095047,0.33468559837728196,0.5829272147730566,0.6673360107095047,0.7201745876933443,0.4940119760479042,0.6056266776791245,0.6673360107095047,0.6673360107095047,0.6056266776791245
25/07/2020 até 22/11/2020,0.6870175438596491,0.3242424242424243,0.5602947281029472,0.6870175438596491,0.6870175438596491,0.4115384615384615,0.5800181578078574,0.6870175438596491,0.6539127614347854,0.2675,0.5591158536585366,0.6870175438596491,0.6870175438596491,0.5591158536585366
24/08/2020 até 22/12/2020,0.6556137289121582,0.29691211401425177,0.5344344853584356,0.6556137289121582,0.6556137289121582,0.44014084507042256,0.5691993423958385,0.6556137289121582,0.6144711713005655,0.22401433691756273,0.5435317162623989,0.6556137289121582,0.6556137289121582,0.5435317162623989
23/09/2020 até 21/01/2021,0.6524973432518597,0.38185255198487716,0.5700837039303543,0.6524973432518597,0.6524973432518597,0.4938875305623472,0.5952126043850432,0.6524973432518597,0.6266546039134462,0.31124807395993837,0.5716824311405531,0.6524973432518597,0.6524973432518597,0.5716824311405532
23/10/2020 até 20/02/2021,0.671451355661882,0.4690721649484536,0.6155984381324253,0.671451355661882,0.671451355661882,0.5055555555555555,0.6219052945563013,0.671451355661882,0.6610596724337452,0.4375,0.6125447494033414,0.671451355661882,0.671451355661882,0.6125447494033414
22/11/2020 até 22/03/2021,0.694188376753507,0.4442825928623452,0.6166671465832324,0.694188376753507,0.694188376753507,0.5446428571428571,0.6410552787006275,0.694188376753507,0.6746353966700475,0.3751537515375154,0.6117742598353451,0.694188376753507,0.694188376753507,0.6117742598353452
22/12/2020 até 21/04/2021,0.6795705001412828,0.4044117647058823,0.5926194888469497,0.6795705001412828,0.6795705001412828,0.5202702702702703,0.6209782934059461,0.6795705001412828,0.6554392756091965,0.33075601374570446,0.5906411647675891,0.6795705001412828,0.6795705001412828,0.590641164767589
21/01/2021 até 21/05/2021,0.6803641092327698,0.38886126305320734,0.5862249615142776,0.6803641092327698,0.6803641092327698,0.5192563081009296,0.6194276365860405,0.6803641092327698,0.654051224507162,0.3108108108108108,0.5854401947366772,0.6803641092327698,0.6803641092327698,0.5854401947366772
