Períodos,accuracy score,f1 score,f1 score macro,f1 score micro,f1 score weighted,precision score,precision score macro,precision score micro,precision score weighted,recall score,recall score macro,recall score micro,recall score weighted,roc_auc score
22/12/2020 até 22/03/2021,0.6894685039370079,0.42268984446477587,0.6051517212899443,0.6894685039370079,0.6894685039370079,0.5310344827586206,0.6318290760693541,0.6894685039370079,0.6673452811926245,0.5310344827586206,0.6318290760693541,0.6894685039370079,0.6673452811926245,0.601296107033355
21/01/2021 até 21/04/2021,0.6745843230403801,0.3703217334208798,0.5754605692956607,0.6745843230403801,0.6745843230403801,0.4973544973544973,0.6070806100217865,0.6745843230403801,0.645616927161469,0.4973544973544973,0.6070806100217865,0.6745843230403801,0.645616927161469,0.5759174654144487
20/02/2021 até 21/05/2021,0.6623702112423917,0.514668039114771,0.627907722549425,0.6623702112423917,0.6623702112423917,0.4748338081671415,0.6253479385663294,0.6623702112423917,0.6799382765879467,0.4748338081671415,0.6253479385663294,0.6623702112423917,0.6799382765879467,0.6356019767723347
22/03/2021 até 20/06/2021,0.7006393380970289,0.41897810218978104,0.6086785141141408,0.7006393380970289,0.7006393380970289,0.4743801652892562,0.6208317574255433,0.7006393380970289,0.683014475560883,0.4743801652892562,0.6208317574255433,0.7006393380970289,0.683014475560883,0.6036323857244411
21/04/2021 até 20/07/2021,0.6514047866805411,0.46993670886075944,0.6051233931900697,0.6514047866805411,0.6514047866805411,0.41596638655462187,0.6032646502309533,0.6514047866805411,0.6833682780883646,0.41596638655462187,0.6032646502309533,0.6514047866805411,0.6833682780883646,0.6180320699708455
21/05/2021 até 19/08/2021,0.6848591549295775,0.47507331378299117,0.6249580405392944,0.6848591549295775,0.6848591549295775,0.5491525423728814,0.6408069489510066,0.6848591549295775,0.6700137228781909,0.5491525423728814,0.6408069489510066,0.6848591549295775,0.6700137228781909,0.6205172788524234
20/06/2021 até 18/09/2021,0.6803482587064676,0.47657841140529533,0.6232489192210003,0.6803482587064676,0.6803482587064676,0.46987951807228917,0.6223271464235319,0.6803482587064676,0.683002819399151,0.46987951807228917,0.6223271464235319,0.6803482587064676,0.683002819399151,0.6242978147701538
20/07/2021 até 18/10/2021,0.6107986501687289,0.4725609756097561,0.5820915394982826,0.6107986501687289,0.6107986501687289,0.36729857819905215,0.5990668479860357,0.6107986501687289,0.70882437507301,0.36729857819905215,0.5990668479860357,0.6107986501687289,0.70882437507301,0.6273797873034513
19/08/2021 até 17/11/2021,0.6779431664411367,0.2371794871794872,0.5165314245502924,0.6779431664411367,0.6779431664411367,0.25,0.517554991539763,0.6779431664411367,0.6663575646423918,0.25,0.517554991539763,0.6779431664411367,0.6663575646423918,0.5162831389183458
18/09/2021 até 17/12/2021,0.7318741450068399,0.32876712328767127,0.5806228778831519,0.7318741450068399,0.7318741450068399,0.35555555555555557,0.5863348247576435,0.7318741450068399,0.717983190362665,0.35555555555555557,0.5863348247576435,0.7318741450068399,0.717983190362665,0.577082269912781
18/10/2021 até 16/01/2022,0.6943143812709031,0.2471169686985173,0.5276709476308364,0.6943143812709031,0.6943143812709031,0.28735632183908044,0.5338726503846942,0.6943143812709031,0.6662824241787596,0.28735632183908044,0.5338726503846942,0.6943143812709031,0.6662824241787596,0.5274415551094946
17/11/2021 até 15/02/2022,0.6897133220910624,0.2396694214876033,0.5223770836251577,0.6897133220910624,0.6897133220910624,0.29896907216494845,0.5325490522115065,0.6897133220910624,0.6518993624207933,0.29896907216494845,0.5325490522115065,0.6897133220910624,0.6518993624207933,0.5241071428571428
17/12/2021 até 17/03/2022,0.6462585034013606,0.28063241106719367,0.5230481642964835,0.6462585034013606,0.6462585034013606,0.37967914438502676,0.5425711636414445,0.6462585034013606,0.6044669649332417,0.37967914438502676,0.5425711636414445,0.6462585034013606,0.6044669649332417,0.5295951256126098
16/01/2022 até 16/04/2022,0.6253196930946292,0.3073286052009456,0.5252681588669057,0.6253196930946292,0.6253196930946292,0.5,0.5751533742331288,0.6253196930946292,0.5939897698209718,0.5,0.5751533742331288,0.6253196930946292,0.5939897698209718,0.544459334017323
15/02/2022 até 16/05/2022,0.7042682926829268,0.4012345679012346,0.6024391462987955,0.7042682926829268,0.7042682926829268,0.47794117647058826,0.6207013574660634,0.7042682926829268,0.681635581061693,0.47794117647058826,0.6207013574660634,0.7042682926829268,0.681635581061693,0.5970176395708311
17/03/2022 até 15/06/2022,0.747588424437299,0.3203463203463204,0.5826805639243942,0.7475884244372991,0.7475884244372991,0.21893491124260356,0.5818736366367543,0.747588424437299,0.8724580180616532,0.21893491124260356,0.5818736366367543,0.747588424437299,0.8724580180616532,0.6805299539170506
